Country,revenue
United Kingdom,9025222.084
Netherlands,285446.34
EIRE,283453.96
Germany,228867.14
France,209715.11
Australia,138521.31
Spain,61577.11
Switzerland,57089.9
Belgium,41196.34
Sweden,38378.33
Japan,37416.37
Norway,36165.44
Portugal,33747.1
Finland,22546.08
Singapore,21279.29
Channel Islands,20450.44
Denmark,18955.34
Italy,17483.24
Hong Kong,15691.8
Cyprus,13590.38
Austria,10198.68
Israel,8135.26
Poland,7334.65
Greece,4760.52
Unspecified,4749.79
Iceland,4310.0
Canada,3666.38
USA,3580.39
Malta,2725.59
United Arab Emirates,1902.28
Lebanon,1693.88
Lithuania,1661.06
European Community,1300.25
Brazil,1143.6
RSA,1002.31
Czech Republic,826.74
Bahrain,754.14
Saudi Arabia,145.92
